Title,Media URL,Pinterest board,Description,Link,Publish date,Keywords
Definition of budget,https://dl.dropboxusercontent.com/scl/fi/q9scyxnoc3hnymsa7uwqb/image-387.jpg?rlkey=scs0yzyn7ytsum4nrnnbfiypl&dl=1,definitions/English,a summary of intended expenditures along with proposals for how to meet them,https://trueandfiction.com/definition/definition-of-budget/,2024-12-13T01:58,"definition, meaning, english, vocabulary, budget"
Definition of construction,https://dl.dropboxusercontent.com/scl/fi/5j2oivrqc6lgfwjw6k6cs/image-388.jpg?rlkey=xortyxv962zhf9ii98b7o59xa&dl=1,definitions/English,the creation of a construct; the process of combining ideas into a congruous object of thought,https://trueandfiction.com/definition/definition-of-construction/,2024-12-13T02:02,"definition, meaning, english, vocabulary, construction"
Definition of costs,https://dl.dropboxusercontent.com/scl/fi/hnlqv5ytgehxwbfvrfbjo/image-389.jpg?rlkey=jtvvw9wedvucfswlq7mwducia&dl=1,definitions/English,pecuniary reimbursement to the winning party for the expenses of litigation,https://trueandfiction.com/definition/definition-of-costs/,2024-12-13T02:05,"definition, meaning, english, vocabulary, costs"
Definition of especially,https://dl.dropboxusercontent.com/scl/fi/pr557xq3r9tnkoxp1eetx/image-390.jpg?rlkey=itv1pgoecy9gmv9zvydfufrir&dl=1,definitions/English,in a special manner,https://trueandfiction.com/definition/definition-of-especially/,2024-12-13T02:09,"definition, meaning, english, vocabulary, especially"
Definition of planning,https://dl.dropboxusercontent.com/scl/fi/sm4faxgk631bznya1n8lv/image-391.jpg?rlkey=0huz3b6rat2118c4ufc2bj0qu&dl=1,definitions/English,an act of formulating a program for a definite course of action,https://trueandfiction.com/definition/definition-of-planning/,2024-12-13T02:13,"definition, meaning, english, vocabulary, planning"
Definition of careful,https://dl.dropboxusercontent.com/scl/fi/klzlq83gjvjm29xlxq8c5/image-392.jpg?rlkey=rv72kvnhk918wp1uaw7rmpeju&dl=1,definitions/English,full of cares or anxiety,https://trueandfiction.com/definition/definition-of-careful/,2024-12-13T02:16,"definition, meaning, english, vocabulary, careful"
Definition of requires,https://dl.dropboxusercontent.com/scl/fi/he3rwypp6vokjwfswwppv/image-393.jpg?rlkey=2nxdpnzlsu6vgny0rr3ywal6a&dl=1,definitions/English,"require as useful, just, or proper",https://trueandfiction.com/definition/definition-of-requires/,2024-12-13T02:20,"definition, meaning, english, vocabulary, require"
Definition of exciting,https://dl.dropboxusercontent.com/scl/fi/vpht1n2l7u682liotxapu/image-394.jpg?rlkey=ezd0jworiddixpy2s95bij6l1&dl=1,definitions/English,creating or arousing excitement,https://trueandfiction.com/definition/definition-of-exciting/,2024-12-13T02:24,"definition, meaning, english, vocabulary, exciting"
Definition of dream,https://dl.dropboxusercontent.com/scl/fi/avfxeg2pb1ajg7d4aileo/image-395.jpg?rlkey=t7dtitxjvbo4mjoh2w28k821d&dl=1,definitions/English,experience while sleeping,https://trueandfiction.com/definition/definition-of-dream/,2024-12-13T02:28,"definition, meaning, english, vocabulary, dream"
Definition of building,https://dl.dropboxusercontent.com/scl/fi/sch0omcba9m0taj4hean6/image-396.jpg?rlkey=33erexo6alggwcjrfm0c9ymb7&dl=1,definitions/English,the act of constructing something,https://trueandfiction.com/definition/definition-of-building/,2024-12-13T02:33,"definition, meaning, english, vocabulary, building"
Definition of surrounding,https://dl.dropboxusercontent.com/scl/fi/takdl35wnk854jqgu9tv7/image-397.jpg?rlkey=pqzlnvk9tm6dezzjhan804xn9&dl=1,definitions/English,closely encircling,https://trueandfiction.com/definition/definition-of-surrounding/,2024-12-13T02:37,"definition, meaning, english, vocabulary, surrounding"
Definition of accustomed,https://dl.dropboxusercontent.com/scl/fi/20fm9a5343uo5ztjubf4q/image-398.jpg?rlkey=om3z14a6pd89pkj6byoadtpet&dl=1,definitions/English,commonly used or practiced; usual,https://trueandfiction.com/definition/definition-of-accustomed/,2024-12-13T02:41,"definition, meaning, english, vocabulary, accustomed"
Definition of become,https://dl.dropboxusercontent.com/scl/fi/6zthx3p0vc34jnxdisgot/image-399.jpg?rlkey=s8ji90qd0durzs1ymsqk98o21&dl=1,definitions/English,enhance the appearance of,https://trueandfiction.com/definition/definition-of-become/,2024-12-13T02:46,"definition, meaning, english, vocabulary, become"
Definition of distressing,https://dl.dropboxusercontent.com/scl/fi/rakglawtvt8ezk06p1y6a/image-400.jpg?rlkey=s3f5le7vy4khhfn9kta2tb3b0&dl=1,definitions/English,bad; unfortunate,https://trueandfiction.com/definition/definition-of-distressing/,2024-12-13T02:50,"definition, meaning, english, vocabulary, distressing"
Definition of may,https://dl.dropboxusercontent.com/scl/fi/2rp9e7wsyt4v0x5hd5xac/image-401.jpg?rlkey=8lmgrfkuq3j6d7262tu4cnx13&dl=1,definitions/English,thorny Eurasian shrub of small tree having dense clusters of white to scarlet flowers followed by deep red berries; established as an escape in eastern North America,https://trueandfiction.com/definition/definition-of-may/,2024-12-13T02:55,"definition, meaning, english, vocabulary, may"
Definition of content,https://dl.dropboxusercontent.com/scl/fi/k45bw8hjk8kd8pyz2i7gb/image-402.jpg?rlkey=3xv0m1dupb83btqykce4fn9im&dl=1,definitions/English,the proportion of a substance that is contained in a mixture or alloy etc.,https://trueandfiction.com/definition/definition-of-content/,2024-12-13T03:00,"definition, meaning, english, vocabulary, content"
Definition of aged,https://dl.dropboxusercontent.com/scl/fi/uo3m2aj7jrqmic152xy9m/image-403.jpg?rlkey=tegfs60to3yl7ez9v9xxa2c85&dl=1,definitions/English,advanced in years; (`aged' is pronounced as two syllables),https://trueandfiction.com/definition/definition-of-aged/,2024-12-13T03:01,"definition, meaning, english, vocabulary, aged"
Definition of recommend,https://dl.dropboxusercontent.com/scl/fi/zk6caio7twyf6p6dpkrsb/image-404.jpg?rlkey=dkx9l6bp4c5um3oqaywaaoo01&dl=1,definitions/English,express a good opinion of,https://trueandfiction.com/definition/definition-of-recommend/,2024-12-13T03:02,"definition, meaning, english, vocabulary, recommend"
Definition of ongoing,https://dl.dropboxusercontent.com/scl/fi/ohdyx0iabcjt5h7j7ydyp/image-405.jpg?rlkey=n4xm0o7hrwizoiopqxm9u96wm&dl=1,definitions/English,currently happening,https://trueandfiction.com/definition/definition-of-ongoing/,2024-12-13T03:03,"definition, meaning, english, vocabulary, ongoing"
Definition of summer,https://dl.dropboxusercontent.com/scl/fi/opjhq8gvbu4yqbflzgtd6/image-406.jpg?rlkey=7yvuvno01lnwmue29njd3lds1&dl=1,definitions/English,the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox,https://trueandfiction.com/definition/definition-of-summer/,2024-12-13T03:04,"definition, meaning, english, vocabulary, summer"
Definition of start,https://dl.dropboxusercontent.com/scl/fi/f4edxjbvqmtj2udrstbzo/image-407.jpg?rlkey=lortr3yqfbzfon1q956py85bs&dl=1,definitions/English,begin or set in motion,https://trueandfiction.com/definition/definition-of-start/,2024-12-13T03:06,"definition, meaning, english, vocabulary, start"
Definition of events,https://dl.dropboxusercontent.com/scl/fi/bexdd0p4rs6zt9e56o66i/image-408.jpg?rlkey=vadjb41vbc9pw22rnukecf0qh&dl=1,definitions/English,something that happens at a given place and time,https://trueandfiction.com/definition/definition-of-events/,2024-12-13T03:07,"definition, meaning, english, vocabulary, event"
Definition of recount,https://dl.dropboxusercontent.com/scl/fi/0od29o4mf44tvgjnl6ouv/image-409.jpg?rlkey=ma7qhvkso549dgtg9kw2ayz4m&dl=1,definitions/English,count again,https://trueandfiction.com/definition/definition-of-recount/,2024-12-13T03:08,"definition, meaning, english, vocabulary, recount"
Definition of portal,https://dl.dropboxusercontent.com/scl/fi/43xo2o93jpn6zvtwhvbfw/image-410.jpg?rlkey=9ym02ujmlfvca0577j1h93jq3&dl=1,definitions/English,a short vein that carries blood into the liver,https://trueandfiction.com/definition/definition-of-portal/,2024-12-13T03:10,"definition, meaning, english, vocabulary, portal"
Definition of radiant,https://dl.dropboxusercontent.com/scl/fi/wk48ywhsx0fcjarci481v/image-411.jpg?rlkey=jehsogxz7jcg62rk2wo0speep&dl=1,definitions/English,radiating or as if radiating light,https://trueandfiction.com/definition/definition-of-radiant/,2024-12-13T03:11,"definition, meaning, english, vocabulary, radiant"
Definition of airy,https://dl.dropboxusercontent.com/scl/fi/b6wiu13mpacnccatd0cp4/image-412.jpg?rlkey=gkydy0bvv47vi3ctv1gyyh90n&dl=1,definitions/English,having little or no perceptible weight; so light as to resemble air,https://trueandfiction.com/definition/definition-of-airy/,2024-12-13T03:12,"definition, meaning, english, vocabulary, airy"
